text,soft_skills
 Coordinates the overall operation of the project preparationWorks cooperatively with the specialists and consultants of the projectto develop project activities and objectives specified by the grant.,"['mediation', 'coordination', 'organization']"
 Reports directly to and works closely with the Project Manager inevaluation of the project activities.,"['coordination', 'mediation', 'instructing']"
 Performs all other duties required for the successful implementationand operation of the project.,"['instructing', 'coordination', 'mediation']"
 Policy and guidelines development;,"['mediation', 'communication', 'coordination']"
 Development and support of training activities;,"['mediation', 'coordination', 'communication']"
 Monitoring and evaluation;,"['mediation', 'communication', 'coordination']"
 Advocacy and health education;,"['communication', 'mediation', 'coordination']"
 National collaboration and coordination;,"['coordination', 'mediation', 'communication']"
 Regional collaboration.,['coordination']
" In coordination with SCs Country Director for Armenia, represent SCand Public Works Program in formal and informal relationship with USAID,and serve as the primary liaison with program partners, local NGOs andsub","['coordination', 'mediation', 'organization']"
 Lead the preparation of the annual work plan with senior staff andpartners and quid the timely production of reports and other Programdeliverables to USAID.,"['coordination', 'mediation', 'instructing']"
 Oversee management and provide support in the implementation of publicworks projects.,"['coordination', 'mediation', 'communication']"
" Assure adequate management systems are in place for financialmanagement, monitoring, evaluation and reporting in compliance withprogram and agreement requirements.","['mediation', 'communication', 'instructing']"
" Support management of the Public Works Project to assure SC rules andprocedures regarding selection of projects and beneficiaries, communityparticipation, procurement and implementation quality are maintained;","['mediation', 'coordination', 'communication']"
 Supervise the senior staff of the Program.,['coordination']
 Ensure that all program activity undertaken by SC under the programare consistent with the objectives of the approved program and SCslong,"['mediation', 'coordination', 'organization']"
 Protection of the Client's staff  and the property on the site;,"['mediation', 'coordination', 'service orientation']"
 Strict adherence to the Assignment Orders and Instructions;,"['mediation', 'coordination', 'communication']"
 Thorough performance of company security procedures.,"['instructing', 'service orientation', 'mediation']"
" Realizations of tests on different products, related to food industry.The key elements of these roles are thedevelopment and delivery of new or modified functionality based on ourgiven Remedy ARS platform. The candidates are required to work closelywith the other functional and technical members of the internationalService Platforms Team. This comprises a close relationship to the Test","['instructing', 'mediation', 'communication']"
Department as well.The key elements of these roles are thedevelopment and delivery of new or modified functionality based on ourgiven Remedy ARS platform. The candidates are required to work closelywith the other functional and technical members of the internationalService Platforms Team. This comprises a close relationship to the Test,"['instructing', 'mediation', 'communication']"
Department as well.Periodically supply the festival web site withnew information.,['service orientation']
 Maintain the accounting of MSF,"['mediation', 'coordination']"
Belgium in accordance with the RA Lawon Accounting and the RA Accounting Standards.,"['mediation', 'coordination', 'instructing']"
" Through the terms of reference, carry out the third part of theapplication in a documentation and workflow management. ","['mediation', 'coordination', 'instructing']"
" Carry out implementation choice, encoding, unitary tests and yourmodules integration. ","['instructing', 'coordination', 'communication']"
" Draft the technical documentation in English .Will be responsible for all project officenetworks and website equipment/activities. Under the direction of theChief of Party, s/he will be responsible for the proper maintenance andfunctioning of the server, computer, and multimedia equipment at alltimes.Will be responsible for installation andmaintenance of IT equipment, network systems, and computers in theprojects offices, and for the design and maintenance of databasesrelating to business contacts, monitoring and evaluation of projectactivities, and other related duties.Ensure the conformity of fulfillment andformulation of the Programs financial operations with the laws of theRepublic of Armenia, all  requirements as set forth by USAID and DAI;ensure that payments are based on the service provision, rent and anyother contracts made in relation to the Program are effected on a timelybasis; make sure that the powers of attorney related to HSBC bankinteractions are updated on a regular basis; manage the Programs pettycash;handle staff time sheets and salary payments; organize allfinancial operations using Microsoft Quicken software; prepare anddistribute consolidated monthly financial reports; coordinate monthlyfund requests with home office; coordinate the  payments based on theservice provision, rent and any other contracts made in relation to theProgram; provide for a timely and proper reference forms  defined forVAT exemption  in accordance with the RoA Laws; fulfill otherassignments as deemed necessary.","['mediation', 'instructing', 'service orientation']"
" Process, register and file correspondence;","['mediation', 'communication']"
 Participate in preparation of advertising materials of the company andpromottion through Internet and other means.,"['mediation', 'instructing', 'communication']"
" Arrange meetings, invitations, engagements and other appointments onbehalf of the Director, make all arrangements for Director's travel. ","['instructing', 'coordination', 'mediation']"
read and checkdocuments for the Director and handle special requests and projects asrequired. ,"['instructing', 'coordination', 'communication']"
 Maintain comprehensive filing system to ensure instant retrieval ofdocuments. ,"['instructing', 'stress management', 'flexibility']"
" Screen telephone calls for the Director, handle queries where possibleor where appropriate. ",['instructing']
" Make appropriate arrangements and process the letters, papers anddocuments incoming to and outgoing from the Director's office. ","['instructing', 'coordination', 'mediation']"
 Forward documents to the staff of the Director's office to ensuredeadlines are met. ,['instructing']
 Perform other duties as assigned.The key elements of these roles are thedevelopment and delivery of new or modified functionality based on ourgiven Remedy ARS platform. The candidates are required to work closelywith the other functional and technical members of the internationalService Platforms Team. This comprises a close relationship to the Test,"['instructing', 'mediation', 'communication']"
 Assist the MEH Coordinator in organizing smooth  operations of AECPMEH including planning and technical aspects of MEH operations.,"['coordination', 'mediation', 'instructing']"
 Keep contact with the ophthalmologists working on MEH and makeinstructions on equipment use and work with the patients. ,"['instructing', 'monitoring', 'communication']"
 Assist and train the personnel new to the MEH procedures on therequired examination and documentation procedures.,"['instructing', 'coordination', 'mediation']"
 Assist in  managing and updating  the inventory of MEH related officeequipment and furniture. ,"['instructing', 'coordination', 'mediation']"
" Provide for the liaison with the partners of AECP on operationalissues, including arrangements for travel, training, etc. ","['instructing', 'coordination', 'mediation']"
" Analyze, assess the general ophthalmic education related countryenvironment, maintain continuous dialogue with partners to provideadvisory services, in consultation with senior management and governmentcounterparts identify the areas and modalities of AECP involvement intraining.","['mediation', 'coordination', 'communication']"
" Negotiate, design and formulate workplans/plans of action (includingestablishment of monitoring mechanisms; introduction of performanceindicators/success criteria, targets and milestones; assessment ofcounterpart support capacity. Advocate for them  in the government and to the counterparts and donors, develop critical partnership networks.","['mediation', 'coordination', 'communication']"
" Conduct a desk study of available materials,  study internationalexperience and best practices, assess existing training materialsavailable in Armenia for ophthalmic training of the above categories. ","['instructing', 'mediation', 'service orientation']"
 Develop and implement a continuum of medical education and trainingprograms and arrange trainings for the above categories of specialists.,"['mediation', 'instructing', 'coordination']"
 Monitor ongoing program activities  financially and  substantively toensure the efficient and timely delivery of inputs.,"['coordination', 'mediation', 'communication']"
 Handle all operative issues concerning sales and customer services;,"['service orientation', 'communication', 'stress management']"
 Learn and continuously improve knowledge of mobile devices andaccessories market;,"['communication', 'adaptability', 'instructing']"
 Carry out the project management;,['coordination']
" Prepare business plans, project proposals and project documentdesigns;","['initiative', 'coordination', 'instructing']"
 Prepare technical documentation and designs;,"['communication', 'instructing', 'mediation']"
 Complete Project Management for the implementation of campaigns;,"['coordination', 'mediation', 'organization']"
ordination with European ProductManagement;,"['mediation', 'coordination']"
" Regular analysis of campaign performance, self responsibleoptimisation of campaigns and presentation to customers;","['mediation', 'communication', 'instructing']"
" Management of a small team including: establish team processes, ensurehighest possible quality and service to client, check the quality ofbookings from team, ensure daily operations, goal setting, evaluationand motivation of team.","['service orientation', 'instructing', 'coordination']"
 Accurate and timely set up of campaign and campaign relatedinformation within the necessary tools (Doubleclick Adserver/ SAP);,['coordination']
" Monitoring, Analysing and Reporting of campaign performance forassigned advertisers;","['mediation', 'coordination', 'communication']"
 Coordination of campaign optimization with sales force;,"['coordination', 'mediation', 'communication']"
operation with sales force and client.,"['service orientation', 'communication', 'stress management']"
 Ensure highest possible quality of service and communication to theEuropean sales organizations;,"['service orientation', 'communication', 'mediation']"
 Establish department performance metrics;,"['coordination', 'communication']"
 Initiate new tools to optimise the departments' workflow;,['instructing']
 Efficient communication with customers/ complaint handling;,"['communication', 'mediation', 'coordination']"
 Work with direct reports to ensure they are properly trained on allsystems needed to perform their job;,['instructing']
 Ensure that team follows department practices in work flow anddocumentation; ,"['instructing', 'service orientation', 'communication']"
 Monitoring of campaign status reports;,['mediation']
" Setting goals for staff and evaluating performance, recruiting.","['instructing', 'time management', 'stress management']"
 Prepare and submit Tax reports and Social Security Statments requiredby RA legislation;,"['mediation', 'coordination', 'organization']"
 Prepare reports to be submitted to the National Statistical Departmentof RA;,['mediation']
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customising and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Prepare technical recommendations and define technical specificationstaking business requirements into account for development projects setby Customer Care team;,"['communication', 'service orientation', 'coordination']"
 You will be responsible for completion of development projects withinagreed time,['time management']
"frames. Perform work planning, development, and second levelsupport for ad management.","['instructing', 'time management', 'communication']"
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customising and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Development and maintenance of our Sales supporting systems;,"['communication', 'coordination', 'mediation']"
defined project assignments.,"['instructing', 'complex problem solving']"
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customising and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Development and maintenance of our Sales supporting systems;,"['communication', 'coordination', 'mediation']"
defined project assignments.,"['instructing', 'complex problem solving']"
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customizing and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Development and maintenance of our Sales supporting systems;,"['communication', 'coordination', 'mediation']"
defined project assignments.,"['instructing', 'complex problem solving']"
 Software development according to requirements;,"['communication', 'mediation', 'instructing']"
 Complete work according to deadlines;,['instructing']
 Take part in mentoring other developers professional skills.,"['instructing', 'active listening', 'complex problem solving']"
 Software development according to requirements;,"['communication', 'mediation', 'instructing']"
 Complete work according to deadlines;,['instructing']
 Take part in mentoring other developers' professional skills.,['instructing']
 Software development according to requirements;,"['communication', 'mediation', 'instructing']"
 Complete work according to deadlines;,['instructing']
 Take part in mentoring other developers professional skills.,"['instructing', 'active listening', 'complex problem solving']"
 Software development according to requirements;,"['communication', 'mediation', 'instructing']"
 Complete work according to deadlines;,['instructing']
" Simulation, evaluation and preparation of specifications;","['mediation', 'coordination', 'communication']"
" Supervision and assistance in PCB, hardware and packaging design;","['instructing', 'communication', 'service orientation']"
" Evaluation of new design tools, components and techniques;","['instructing', 'communication', 'adaptability']"
" Responsible for the entire process of development, from feasibilitystudy to design, implementation and delivery to production;","['mediation', 'instructing', 'communication']"
 Responsible for product sustaining during products life cycle.,"['time management', 'stress management', 'adaptability']"
 Design and oversee programs to better serve beneficiaries;,"['instructing', 'communication', 'coordination']"
 Review finances of the organization;,"['mediation', 'coordination', 'organization']"
 Work with governmental and private organizations to solicit supportfor Orran activities;,"['mediation', 'organization', 'coordination']"
 Direct and coordinate the work of volunteers;,"['coordination', 'mediation', 'communication']"
 Report to donors and the Board;,"['mediation', 'coordination', 'organization']"
" Actively identify and implement tools, resources, new technologies andinnovations for the project;","['communication', 'instructing', 'coordination']"
" Work with designers, graphic artists and management in the developmentof the project;","['coordination', 'mediation', 'communication']"
"time, high performance code practices and optimizationtechniques.","['time management', 'instructing', 'active listening']"
 Responsible for ensuring that all eight projects are completed withquality and on time;,"['instructing', 'time management', 'active listening']"
 Ensure that designs meet IRD standards;,['adaptability']
 Work with procurement staff to ensure that the bidding incorporatesall required norms and standards.,"['instructing', 'coordination', 'stress management']"
" Overall financial management, expenditure control, projectaccountability and cash flow; ","['stress management', 'communication', 'adaptability']"
 Create and maintain an appropriate administrative and financialcontrol environment;,"['communication', 'mediation', 'coordination']"
 Responsible for design and implementation of finance andadministrative procedures;,"['mediation', 'coordination', 'communication']"
 Responsible for all support staff.,['instructing']
 Procurement of all construction materials and construction workers forall infrastructure rehabilitation projects;,"['mediation', 'communication', 'coordination']"
" Ensure that bidding incorporates all required, USAID and IRD norms andstandards; ","['instructing', 'communication', 'mediation']"
 Overall project and staff management;,"['coordination', 'communication', 'service orientation']"
 Supervision of finance and administrative department;,"['mediation', 'coordination', 'organization']"
 Determination of program timeline and responsible for achievingproject targets;,"['mediation', 'coordination', 'communication']"
 Direct the Chief Engineer to carry out all construction activities inthe region;,"['instructing', 'mediation', 'coordination']"
 Supervision of vocational training component.,"['coordination', 'instructing', 'mediation']"
" Responsible for all hotel and restaurant operations: Customer Service,Food and Beverage Service, Housekeeping, Laundry, Gift Shop, SPA andAdministration and Maintenance;","['service orientation', 'coordination']"
 Monitor staff performance and ensure due operation;,"['coordination', 'service orientation', 'communication']"
" Verify and oversee all hotel purchases, repair and maintenance;","['instructing', 'service orientation']"
" Provide regular reports to Central and Financial departments, as wellas cooperate with Marketing and HR when needed.","['instructing', 'coordination', 'communication']"
" Assist in hiring local staff, designing programs; ","['instructing', 'service orientation', 'coordination']"
" Devise an effective network for effective communication to all CARDemployees and integrate CARD activities, providing technical, financialand marketing assistance together as a cohesive ""Package of services""for clients;","['communication', 'instructing', 'mediation']"
 Direct resources to the best practices of CARD and to itsundertakings;,['instructing']
 Develop approaches to streamline project/program management andgenerate income;,"['communication', 'service orientation', 'coordination']"
" Assist Director with daily project management and with projectplanning, oversight, budgeting and implementation;","['coordination', 'mediation', 'communication']"
" Support Director to liaison with Armenian and Internationaldevelopment organizations, Ministry of Agriculture, Armenian Ag. Academyand others in order to strengthen technical collaboration with theseorganizations in the area of agriculture and food marketing.","['mediation', 'coordination', 'instructing']"
" Develope sales tactics and strategy, ",['communication']
 Manage the network of distributors,"['organization', 'coordination', 'communication']"
" Coming to the office at 8.30 sharp, and handing over the ammount,obtained from the previous day of work;","['instructing', 'mediation']"
 Starting the distribution of the product;,"['mediation', 'coordination']"
" To provide all the procedures, connected with the sales of airtickets;","['instructing', 'communication', 'coordination']"
 To work with technical equipment and chemicals.,['instructing']
 Designing information materials;,['communication']
"formatting printer.The study of supply of internal market and demandof external(foreign) market.Design, develop, apply, and maintain softwaresystems.","['communication', 'mediation', 'coordination']"
 Handling of business communication;,['communication']
 Incoming and outgoing correspondence registration and translation;,"['mediation', 'communication', 'coordination']"
 directing incoming calls to appropriate officeor person;,['instructing']
 Providing general information to callers during working hours.,"['instructing', 'time management', 'service orientation']"
 Maintain and repair various vending machines;,"['instructing', 'service orientation', 'communication']"
 Install and service coin acceptors and banknote validators;,"['service orientation', 'communication', 'mediation']"
 Maintain and repair office equipment;,['service orientation']
 Assist in the development of site selection criteria for pilotprojects.  ,"['mediation', 'coordination', 'service orientation']"
 Do feasibility studies and energy audits of pilot project sites.,['instructing']
" Provide engineering expertise to proposed projects, includingproposals for alternative solutions.","['instructing', 'service orientation', 'communication']"
 Manage subcontractors to implement pilot projects on time and toprogram standards.,"['time management', 'instructing']"
 Other tasks required.,['instructing']
 Under supervision of Financial assistance programs coordinator providecomplete customer service and run all procedures connected with loanguaranty provision;,"['service orientation', 'coordination', 'communication']"
 Develop weakly and monthly planning;,"['coordination', 'communication', 'mediation']"
 In cooperation with experts in regional branches and partner bankshandle operative issues connected with the program;,"['mediation', 'coordination', 'organization']"
" Conceptualize, design and manage research and development of thetechnical and organizational aspects of assessments related toevaluation of the effectiveness of private sector performanceindicators;","['mediation', 'communication', 'coordination']"
 Monitor the current indicators and interface with other evaluationresearchers conducting evaluation studies related to the field;,"['mediation', 'instructing', 'communication']"
 Develop proposals for evaluation projects; ,"['coordination', 'mediation', 'communication']"
 Design a system that will provide timely feedback on results to thefield.,"['flexibility', 'instructing']"
 Provide consultative support for employees and managers who areparticipating in the grant program;,"['mediation', 'organization', 'service orientation']"
 Generate financial reports on the grants disbursement and overallbudgeting in compliance with USAID contracting regulations;,"['mediation', 'coordination', 'communication']"
" On an ongoing basis, provide recommendations to the Cheif of Party onprogram design and effectiveness of the employee directed grantsprogram;","['mediation', 'coordination', 'communication']"
 Develop  and implement communications and public    relationsstrategies for private sector firms or international donor projects; ,"['communication', 'mediation', 'organization']"
 Draft press releases and work with media and community outreach.,"['communication', 'active listening', 'instructing']"
"chain analyses to identify marketing opportunities by:1) identifying domestic consumer needs not presently being met, or beingmet by imports, and 2) examining all links in the value chain todetermine where interventions are required to meet consumer demand;","['communication', 'mediation', 'instructing']"
 Advising the industry on what the demand is and having a strongunderstanding of the strategy of market demands;,['mediation']
 Experience linking producers to processors and markets and workingwith providers to improve their skills in market identification andlinkages;,"['adaptability', 'instructing', 'communication']"
finance activities and improve access to financialservices for SMEs;,"['communication', 'instructing', 'adaptability']"
" Build relationships with credit unions, leasing companies, and othernon","['communication', 'organization', 'mediation']"
banking financial institutions in order to provide credit access forSMEs and MSMEs that historically have not had access to banking finance;,"['instructing', 'time management', 'communication']"
 Work with commercial banks and microfinance institutions in order tocreate financing mechanisms for SMEs;,"['mediation', 'coordination', 'service orientation']"
 Manage the development and improvement of financial services to theSME sector through the reduction of lending risks;,"['mediation', 'coordination', 'communication']"
 Work with the policy advisor of the team to help strengthen the legaland regulatory infrastructure.,"['coordination', 'mediation', 'instructing']"
 Participate with core management team in the design of strategy andwork plan;,"['coordination', 'organization', 'mediation']"
" Work closely with program market development coordinator to develop,implement, and monitor institution building and marketing initiatives;","['communication', 'coordination', 'organization']"
" Work closely with program policy specialist to develop, implement, andmonitor the sector policy issues;","['mediation', 'coordination', 'organization']"
" Support association clients in implementing institutional developmentmodules to build associations as independent, professional serviceproviders;","['organization', 'mediation', 'communication']"
 Work cooperatively with other Sector Coordinators to develop thestrategic partnerships between industry associations that will reducebarriers and maximize mutual benefits.,"['communication', 'coordination', 'mediation']"
" Provide training to local business development services, businessassociations and trade organizations, and think tanks;  ","['communication', 'service orientation', 'instructing']"
 Assist in the development and promotion of vocational trainingprograms;,"['mediation', 'coordination', 'communication']"
 Design training and labor development programs focused on Armenianwomen in order to prepare them for new professions and ensure they areregarded as equally  qualified candidates for all employment;,"['instructing', 'service orientation', 'time management']"
term vocational training program to help prepare adultswhose skills have been displaced and/or outdated by the recent changesin Armenias economic situation;,"['mediation', 'instructing', 'communication']"
 Coordinate with existing employment centers such as the RepublicanEmployment and Labor Agencies and private businesses to developdemand,"['mediation', 'coordination', 'organization']"
"driven, comprehensive training programs that develop the skillsneeded to secure jobs in the areas where the unemployed live.","['instructing', 'time management', 'service orientation']"
 Identify consumer needs and trends and manage them into marketingprograms;,"['adaptability', 'stress management', 'instructing']"
 Research and understand market conditions and data.,"['communication', 'stress management', 'mediation']"
" Work with trade associations and think tanks helping them to provideleadership in the adoption of best practices in workforce development,public","['instructing', 'mediation', 'organization']"
"private partnerships, and productivity improvement;","['communication', 'mediation', 'coordination']"
 Help facilitate trade association development;,"['mediation', 'communication', 'coordination']"
 Assist business associations to advocate on behalf of member needs;,"['instructing', 'coordination', 'organization']"
" Train association management in international association bestpractices.Customer service, daily inventory of cash andmedecine.This is an exciting opportunity for someone who ","['service orientation', 'communication', 'organization']"
" can understand the mission of the British Council and plan, implementand evaluate projects in the fields of education and governanceaccordingly;","['mediation', 'coordination', 'instructing']"
 can work with demanding financial targets whilst ensuring maximumimpact;,"['instructing', 'stress management', 'adaptability']"
" can build effective working relationships with priority groups ineducation and  governance in Armenia, as well as with UK contacts, NGOs,and the Armenian diaspora in UK;",['mediation']
 can carry out the administration of all our scholarship schemes andwhole,['instructing']
office activity evaluation system to the highest standards.,"['service orientation', 'mediation', 'instructing']"
" Maintain organization's contact databases, perform internet research,assist in preparation of training manuals, handouts and graphicpresentations.","['instructing', 'communication', 'coordination']"
 Assist in managing the web site content and perform minor translationservices as required. ,"['instructing', 'service orientation', 'communication']"
 Prepare correspondence and screen corporate email.,"['instructing', 'communication']"
job  training  and  couching are guaranteed.,['instructing']
" Represent the project as primary liaison with program partners onissues related to training needs and assessments, development ofcurriculum and methodology;","['mediation', 'communication', 'instructing']"
" Serve as primary liaison and expand a network of training specialistsand resources available locally and internationally, to provideappropriate guidance in this area;","['instructing', 'service orientation', 'mediation']"
" Design and implement training modules on various substantive topics,especially training methodology, advocacy, monitoring and evaluation.Work in close collaboration with and supervise the activity of externaltraining service providers.","['instructing', 'coordination', 'communication']"
 Work with counterparts in coordinating and assisting the design andimplementation of training programming;,"['coordination', 'mediation', 'instructing']"
" Develop systems to organize, schedule and monitor training programs;","['instructing', 'communication', 'coordination']"
" Coordinate and collaborate activities with other professional projectstaff to initiate comprehensive activities, addressing all aspects ofessential functions at partner organizations;","['instructing', 'coordination', 'communication']"
 Under the supervision of the Chief of Party maintain a workingrelationship with counterparts at other donor,"['coordination', 'mediation']"
 Work with professional project staff to identify new and innovativeareas of activity to serve overall project objectives;,"['instructing', 'communication', 'coordination']"
" Develop training tools and methodology library to be made available toprogram partners through various mechanisms, including online access.","['instructing', 'communication', 'service orientation']"
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customising and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Prepare technical recommendations and define technical specificationstaking business requirements into account for development projects setby Customer Care team;,"['communication', 'service orientation', 'coordination']"
 You will be responsible for completion of development projects withinagreed time,['time management']
"frames. Perform work planning, development, and second levelsupport for ad management.","['instructing', 'time management', 'communication']"
 Ensure highest possible quality of service and communication to theEuropean sales organizations;,"['service orientation', 'communication', 'mediation']"
 Establish department performance metrics;,"['coordination', 'communication']"
 Initiate new tools to optimise the departments' workflow;,['instructing']
 Efficient communication with customers/ complaint handling;,"['communication', 'mediation', 'coordination']"
 Work with direct reports to ensure they are properly trained on allsystems needed to perform their job;,['instructing']
 Ensure that team follows department practices in work flow anddocumentation; ,"['instructing', 'service orientation', 'communication']"
 Monitoring of campaign status reports;,['mediation']
" Setting goals for staff and evaluating performance, recruiting.","['instructing', 'time management', 'stress management']"
 Accurate and timely set up of campaign and campaign relatedinformation within the necessary tools (Doubleclick Adserver/ SAP);,['coordination']
" Monitoring, Analysing and Reporting of campaign performance forassigned advertisers;","['mediation', 'coordination', 'communication']"
 Coordination of campaign optimization with sales force;,"['coordination', 'mediation', 'communication']"
operation with sales force and client.,"['service orientation', 'communication', 'stress management']"
 Complete Project Management for the implementation of campaigns;,"['coordination', 'mediation', 'organization']"
ordination with European ProductManagement;,"['mediation', 'coordination']"
" Regular analysis of campaign performance, self responsibleoptimisation of campaigns and presentation to customers;","['mediation', 'communication', 'instructing']"
" Management of a small team including: establish team processes, ensurehighest possible quality and service to client, check the quality ofbookings from team, ensure daily operations, goal setting, evaluationand motivation of team.","['service orientation', 'instructing', 'coordination']"
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customizing and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Development and maintenance of our Sales supporting systems;,"['communication', 'coordination', 'mediation']"
defined project assignments.,"['instructing', 'complex problem solving']"
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customising and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Development and maintenance of our Sales supporting systems;,"['communication', 'coordination', 'mediation']"
defined project assignments.,"['instructing', 'complex problem solving']"
" Learn and understand the DoubleClick DART Enterprise technology andfunctionality, understand the surrounding systems, and systemarchitecture as it maps to our business needs;","['instructing', 'communication', 'adaptability']"
 Become an expert in customising and integrating the DoubleClickAdServer software;,"['mediation', 'communication', 'service orientation']"
 Development and maintenance of our Sales supporting systems;,"['communication', 'coordination', 'mediation']"
defined project assignments.,"['instructing', 'complex problem solving']"
 Utilizes and maintains a comprehensive database of candidates andcontact information; tracks movement of applicants and candidates overtime;,"['mediation', 'communication', 'coordination']"
functional data tracking;,"['communication', 'monitoring']"
 Enters and maintains data/information for metrics management;,"['communication', 'coordination', 'monitoring']"
 Assists in managing vendor and university relationships  Alumniorganizations;,"['mediation', 'communication', 'coordination']"
" Assists in the coordination of job fairs, open houses and receptions;","['coordination', 'mediation', 'instructing']"
" Coordinates the ordering, delivery and set up of materials forrecruitment events;","['instructing', 'coordination', 'mediation']"
" Keeps the recruitment process moving  addresses stalls in the process(i.e. resumes not being reviewed, tests not being evaluated);","['mediation', 'instructing', 'service orientation']"
 Conducts employment reference and background checks;,"['mediation', 'communication', 'service orientation']"
 Enters new hire information into internal systems;,"['communication', 'service orientation', 'instructing']"
" Ensures closed job files are complete and meet legal, regulatory andaudit compliance requirements;","['instructing', 'service orientation', 'communication']"
 Assists in coordinating postmortems for the Recruitment and Selectionand Integration Processes.,"['coordination', 'mediation', 'communication']"
" To take part in the selection process by interviewing, scoring andranking applicants in the semi","['mediation', 'coordination']"
 This position may involve travelling.,['complex problem solving']
 Development and promotion of existing and new products;,"['mediation', 'communication', 'coordination']"
 Auditing businesses of the company in accordance with the availablestandards;,"['mediation', 'coordination']"
 Development of the existing operational standards aimed to improvecontrol and effectiveness of the companys operations;,"['mediation', 'coordination', 'communication']"
 Investigations of the extraordinary cases;,['mediation']
" Other related activities.The successful candidate will be responsible forthe company's logistics operations, covering:","['coordination', 'communication', 'mediation']"
 Arrangement and tracking of the shipments;,"['mediation', 'coordination', 'communication']"
 Dealing with all necessary documentation;,['instructing']
 Assist the Network and other departments to handle documentationflow;,"['coordination', 'communication', 'mediation']"
 Provide correct reporting.,['monitoring']
" Utilize and maintain a comprehensive database of candidates andcontact information, track movement of applicants and candidates overtime;","['mediation', 'communication', 'coordination']"
functional data tracking;,"['communication', 'monitoring']"
 Enter and maintain data/information for metrics management;,"['communication', 'monitoring', 'coordination']"
 Research options for sourcing in specific geographic areas;,"['service orientation', 'mediation']"
 Assist in managing vendor and university relationships  Alumniorganizations;,"['mediation', 'communication', 'coordination']"
" Assist in the coordination of job fairs, open houses and receptions;","['coordination', 'mediation', 'instructing']"
" Coordinate the ordering, delivery and set up of materials forrecruitment events;","['instructing', 'coordination', 'mediation']"
" Keep the recruitment process moving  address stalls in the process(i.e. resumes not being reviewed, tests not being evaluated);","['mediation', 'instructing', 'service orientation']"
 Conduct employment reference and background checks;,"['mediation', 'communication', 'service orientation']"
 Enter new hire information into internal systems;,"['communication', 'service orientation']"
" Ensure closed job files are complete and meet legal, regulatory andaudit compliance requirements;","['instructing', 'service orientation', 'communication']"
" Assist in coordinating postmortems for the Recruitment and Selectionand Integration Processes.Design, develop, apply and maintain softwaresystems.The services include hardware and software(Windows 2000/XP) maintenance and upgrade, system and applicationssoftware configuration and troubleshooting, regular file","['coordination', 'communication', 'mediation']"
"mail connectivity.Besides, a service provider may be requested to provide support inarranging and installation of necessary IT hardware and softwarepresentations and trainings, an expert advice and support to the userson the Microsoft Office Applications. Also, support in identifying therequired IT supplies and IT minor equipment for the Office and theirprocurement and inspection upon delivery can be required.The service provider may also be requested to perform some basicoperations on Cisco router and server under the guidance of the OSCE ITprofessionals.","['service orientation', 'instructing', 'communication']"
" Actively identify and implement tools, resources, new technologies andinnovations for the project;","['communication', 'instructing', 'coordination']"
" Work with designers, graphic artists and management in the developmentof the project;","['coordination', 'mediation', 'communication']"
